Pos,Driver,Nationality,Car,Pts,Year
15,Reine WisellWIS,SWE,Lotus Ford,4.0,1970
17,Ignazio Giunti GIU,ITA,Ferrari,3.0,1970
17,John SurteesSUR,GBR,Surtees Ford,3.0,1970
19,John MilesMIL,GBR,Lotus Ford,2.0,1970
19,Johnny Servoz-Gavin SER,FRA,March Ford,2.0,1970
19,Jackie OliverOLI,GBR,BRM,2.0,1970
22,Dan GurneyGUR,USA,McLaren Ford,1.0,1970
22,Francois Cevert CEV,FRA,March Ford,1.0,1970
22,Peter Gethin GET,GBR,McLaren Ford,1.0,1970
22,Derek BellBEL,GBR,Surtees Ford,1.0,1970
1,Jackie StewartSTE,GBR,Tyrrell Ford,62.0,1971
2,Ronnie PetersonPET,SWE,March Ford,33.0,1971
3,Francois Cevert CEV,FRA,Tyrrell Ford,26.0,1971
4,Jacky IckxICK,BEL,Ferrari,19.0,1971
4,Jo SiffertSIF,SUI,BRM,19.0,1971
6,Emerson FittipaldiFIT,BRA,Lotus Ford,16.0,1971
7,Clay RegazzoniREG,SUI,Ferrari,13.0,1971
8,Mario AndrettiAND,USA,Ferrari,12.0,1971
9,Peter Gethin GET,GBR,BRM,9.0,1971
9,Pedro RodriguezROD,MEX,BRM,9.0,1971
9,Chris AmonAMO,NZL,Matra,9.0,1971
9,Reine WisellWIS,SWE,Lotus Ford,9.0,1971
9,Denny HulmeHUL,NZL,McLaren Ford,9.0,1971
14,Tim SchenkenSCH,AUS,Brabham Ford,5.0,1971
14,Howden Ganley GAN,NZL,BRM,5.0,1971
16,Mark DonohueDON,USA,,4.0,1971
16,Henri PescaroloPES,FRA,March Ford,4.0,1971
18,Mike HailwoodHAI,GBR,Surtees Ford,3.0,1971
18,John SurteesSUR,GBR,Surtees Ford,3.0,1971
18,Rolf StommelenSTO,GER,Surtees Ford,3.0,1971
21,Graham HillHIL,GBR,Brabham Ford,2.0,1971
22,Jean-Pierre BeltoiseBEL,FRA,Matra,1.0,1971
1,Emerson FittipaldiFIT,BRA,Lotus Ford,61.0,1972
2,Jackie StewartSTE,GBR,Tyrrell Ford,45.0,1972
3,Denny HulmeHUL,NZL,McLaren Ford,39.0,1972
4,Jacky IckxICK,BEL,Ferrari,27.0,1972
5,Peter RevsonREV,USA,McLaren Ford,23.0,1972
6,Francois Cevert CEV,FRA,Tyrrell Ford,15.0,1972
6,Clay RegazzoniREG,SUI,Ferrari,15.0,1972
8,Mike HailwoodHAI,GBR,Surtees Ford,13.0,1972
9,Ronnie PetersonPET,SWE,March Ford,12.0,1972
9,Chris AmonAMO,NZL,Matra,12.0,1972
11,Jean-Pierre BeltoiseBEL,FRA,BRM,9.0,1972
12,Mario AndrettiAND,USA,Ferrari,4.0,1972
12,Howden Ganley GAN,NZL,BRM,4.0,1972
12,Brian RedmanRED,GBR,BRM,4.0,1972
12,Graham HillHIL,GBR,Brabham Ford,4.0,1972
16,Andrea de Adamich DEA,ITA,Surtees Ford,3.0,1972
16,Carlos ReutemannREU,ARG,Brabham Ford,3.0,1972
16,Carlos PacePAC,BRA,March Ford,3.0,1972
19,Tim SchenkenSCH,AUS,Surtees Ford,2.0,1972
20,Arturo MerzarioMER,ITA,Ferrari,1.0,1972
20,Peter Gethin GET,GBR,BRM,1.0,1972
1,Jackie StewartSTE,GBR,Tyrrell Ford,71.0,1973
2,Emerson FittipaldiFIT,BRA,Lotus Ford,55.0,1973
3,Ronnie PetersonPET,SWE,Lotus Ford,52.0,1973
4,Francois Cevert CEV,FRA,Tyrrell Ford,47.0,1973
5,Peter RevsonREV,USA,McLaren Ford,38.0,1973
6,Denny HulmeHUL,NZL,McLaren Ford,26.0,1973
7,Carlos ReutemannREU,ARG,Brabham Ford,16.0,1973
8,James HuntHUN,GBR,March Ford,14.0,1973
9,Jacky IckxICK,BEL,Iso Marlboro Ford,12.0,1973
10,Jean-Pierre BeltoiseBEL,FRA,BRM,9.0,1973
11,Carlos PacePAC,BRA,Surtees Ford,7.0,1973
12,Arturo MerzarioMER,ITA,Ferrari,6.0,1973
13,George Follmer FOL,USA,Shadow Ford,5.0,1973
14,Jackie OliverOLI,GBR,Shadow Ford,4.0,1973
15,Andrea de Adamich DEA,ITA,Brabham Ford,3.0,1973
15,Wilson FittipaldiFIT,BRA,Brabham Ford,3.0,1973
17,Niki LaudaLAU,AUT,BRM,2.0,1973
17,Clay RegazzoniREG,SUI,BRM,2.0,1973
19,Chris AmonAMO,NZL,Tyrrell Ford,1.0,1973
19,Gijs van LennepVAN,NED,Iso Marlboro Ford,1.0,1973
19,Howden Ganley GAN,NZL,Iso Marlboro Ford,1.0,1973
1,Emerson FittipaldiFIT,BRA,McLaren Ford,55.0,1974
2,Clay RegazzoniREG,SUI,Ferrari,52.0,1974
3,Jody ScheckterSCH,RSA,Tyrrell Ford,45.0,1974
4,Niki LaudaLAU,AUT,Ferrari,38.0,1974
5,Ronnie PetersonPET,SWE,Lotus Ford,35.0,1974
6,Carlos ReutemannREU,ARG,Brabham Ford,32.0,1974
7,Denny HulmeHUL,NZL,McLaren Ford,20.0,1974
8,James HuntHUN,GBR,Hesketh Ford,15.0,1974
9,Patrick DepaillerDEP,FRA,Tyrrell Ford,14.0,1974
10,Jacky IckxICK,BEL,Lotus Ford,12.0,1974
10,Mike HailwoodHAI,GBR,McLaren Ford,12.0,1974
12,Carlos PacePAC,BRA,Brabham Ford,11.0,1974
13,Jean-Pierre BeltoiseBEL,FRA,BRM,10.0,1974
14,Jean-Pierre JarierJAR,FRA,Shadow Ford,6.0,1974
14,John WatsonWAT,GBR,Brabham Ford,6.0,1974
16,Hans-Joachim StuckSTU,GER,March Ford,5.0,1974
17,Arturo MerzarioMER,ITA,Iso Marlboro Ford,4.0,1974
18,Graham HillHIL,GBR,Lola Ford,1.0,1974
18,Tom PrycePRY,GBR,Shadow Ford,1.0,1974
18,Vittorio BrambillaBRA,ITA,March Ford,1.0,1974
1,Niki LaudaLAU,AUT,Ferrari,64.5,1975
2,Emerson FittipaldiFIT,BRA,McLaren Ford,45.0,1975
3,Carlos ReutemannREU,ARG,Brabham Ford,37.0,1975
4,James HuntHUN,GBR,Hesketh Ford,33.0,1975
5,Clay RegazzoniREG,SUI,Ferrari,25.0,1975
6,Carlos PacePAC,BRA,Brabham Ford,24.0,1975
7,Jody ScheckterSCH,RSA,Tyrrell Ford,20.0,1975
7,Jochen MassMAS,GER,McLaren Ford,20.0,1975
9,Patrick DepaillerDEP,FRA,Tyrrell Ford,12.0,1975
10,Tom PrycePRY,GBR,Shadow Ford,8.0,1975
11,Vittorio BrambillaBRA,ITA,March Ford,6.5,1975
12,Jacques LaffiteLAF,FRA,Frank Williams Racing Cars/Williams,6.0,1975
12,Ronnie PetersonPET,SWE,Lotus Ford,6.0,1975
14,Mario AndrettiAND,USA,Parnelli Ford,5.0,1975
15,Mark DonohueDON,USA,March Ford,4.0,1975
16,Jacky IckxICK,BEL,Lotus Ford,3.0,1975
17,Alan JonesJON,AUS,Hill Ford,2.0,1975
18,Jean-Pierre JarierJAR,FRA,Shadow Ford,1.5,1975
19,Tony BriseBRI,GBR,Hill Ford,1.0,1975
19,Gijs van LennepVAN,NED,Ensign Ford,1.0,1975
21,Lella LombardiLOM,ITA,Frank Williams Racing Cars/Williams,0.5,1975
1,James HuntHUN,GBR,McLaren Ford,69.0,1976
2,Niki LaudaLAU,AUT,Ferrari,68.0,1976
3,Jody ScheckterSCH,RSA,Tyrrell Ford,49.0,1976
4,Patrick DepaillerDEP,FRA,Tyrrell Ford,39.0,1976
5,Clay RegazzoniREG,SUI,Ferrari,31.0,1976
6,Mario AndrettiAND,USA,Lotus Ford,22.0,1976
7,John WatsonWAT,GBR,Penske Ford,20.0,1976
7,Jacques LaffiteLAF,FRA,Ligier Matra,20.0,1976
9,Jochen MassMAS,GER,McLaren Ford,19.0,1976
10,Gunnar NilssonNIL,SWE,Lotus Ford,11.0,1976
11,Ronnie PetersonPET,SWE,March Ford,10.0,1976
11,Tom PrycePRY,GBR,Shadow Ford,10.0,1976
13,Hans-Joachim StuckSTU,GER,March Ford,8.0,1976
14,Carlos PacePAC,BRA,Brabham Alfa Romeo,7.0,1976
14,Alan JonesJON,AUS,Surtees Ford,7.0,1976
16,Carlos ReutemannREU,ARG,Ferrari,3.0,1976
16,Emerson FittipaldiFIT,BRA,Fittipaldi Ford,3.0,1976
18,Chris AmonAMO,NZL,Wolf-Williams,2.0,1976
19,Rolf StommelenSTO,GER,Brabham Alfa Romeo,1.0,1976
19,Vittorio BrambillaBRA,ITA,March Ford,1.0,1976
1,Niki LaudaLAU,AUT,Ferrari,72.0,1977
2,Jody ScheckterSCH,RSA,Wolf Ford,55.0,1977
3,Mario AndrettiAND,USA,Lotus Ford,47.0,1977
4,Carlos ReutemannREU,ARG,Ferrari,42.0,1977
5,James HuntHUN,GBR,McLaren Ford,40.0,1977
6,Jochen MassMAS,GER,McLaren Ford,25.0,1977
7,Alan JonesJON,AUS,Shadow Ford,22.0,1977
8,Gunnar NilssonNIL,SWE,Lotus Ford,20.0,1977
8,Patrick DepaillerDEP,FRA,Tyrrell Ford,20.0,1977
10,Jacques LaffiteLAF,FRA,Ligier Matra,18.0,1977
11,Hans-Joachim StuckSTU,GER,Brabham Alfa Romeo,12.0,1977
12,Emerson FittipaldiFIT,BRA,Fittipaldi Ford,11.0,1977
13,John WatsonWAT,GBR,Brabham Alfa Romeo,9.0,1977
14,Ronnie PetersonPET,SWE,Tyrrell Ford,7.0,1977
15,Carlos PacePAC,BRA,Brabham Alfa Romeo,6.0,1977
15,Vittorio BrambillaBRA,ITA,Surtees Ford,6.0,1977
17,Patrick TambayTAM,FRA,Ensign Ford,5.0,1977
17,Clay RegazzoniREG,SUI,Ensign Ford,5.0,1977
19,Renzo ZorziZOR,ITA,Shadow Ford,1.0,1977
19,Jean-Pierre JarierJAR,FRA,Ligier Matra,1.0,1977
19,Riccardo PatresePAT,ITA,Shadow Ford,1.0,1977
1,Mario AndrettiAND,USA,Lotus Ford,64.0,1978
2,Ronnie PetersonPET,SWE,Lotus Ford,51.0,1978
3,Carlos ReutemannREU,ARG,Ferrari,48.0,1978
4,Niki LaudaLAU,AUT,Brabham Alfa Romeo,44.0,1978
5,Patrick DepaillerDEP,FRA,Tyrrell Ford,34.0,1978
6,John WatsonWAT,GBR,Brabham Alfa Romeo,25.0,1978
7,Jody ScheckterSCH,RSA,Wolf Ford,24.0,1978
8,Jacques LaffiteLAF,FRA,Ligier Matra,19.0,1978
9,Gilles VilleneuveVIL,CAN,Ferrari,17.0,1978
9,Emerson FittipaldiFIT,BRA,Fittipaldi Ford,17.0,1978
11,Alan JonesJON,AUS,Williams Ford,11.0,1978
11,Riccardo PatresePAT,ITA,Arrows Ford,11.0,1978
13,James HuntHUN,GBR,McLaren Ford,8.0,1978
13,Patrick TambayTAM,FRA,McLaren Ford,8.0,1978
15,Didier PironiPIR,FRA,Tyrrell Ford,7.0,1978
16,Clay RegazzoniREG,SUI,Shadow Ford,4.0,1978
17,Jean-Pierre JabouilleJAB,FRA,Renault,3.0,1978
18,Hans-Joachim StuckSTU,GER,Shadow Ford,2.0,1978
19,Hector RebaqueREB,MEX,Lotus Ford,1.0,1978
19,Vittorio BrambillaBRA,ITA,Surtees Ford,1.0,1978
19,Derek DalyDAL,IRL,Ensign Ford,1.0,1978
1,Jody ScheckterSCH,RSA,Ferrari,51.0,1979
2,Gilles VilleneuveVIL,CAN,Ferrari,47.0,1979
3,Alan JonesJON,AUS,Williams Ford,40.0,1979
4,Jacques LaffiteLAF,FRA,Ligier Ford,36.0,1979
5,Clay RegazzoniREG,SUI,Williams Ford,29.0,1979
6,Patrick DepaillerDEP,FRA,Ligier Ford,20.0,1979
6,Carlos ReutemannREU,ARG,Lotus Ford,20.0,1979
8,Rene ArnouxARN,FRA,Renault,17.0,1979
9,John WatsonWAT,GBR,McLaren Ford,15.0,1979
10,Didier PironiPIR,FRA,Tyrrell Ford,14.0,1979
10,Jean-Pierre JarierJAR,FRA,Tyrrell Ford,14.0,1979
10,Mario AndrettiAND,USA,Lotus Ford,14.0,1979
13,Jean-Pierre JabouilleJAB,FRA,Renault,9.0,1979
14,Niki LaudaLAU,AUT,Brabham Ford,4.0,1979
15,Nelson PiquetPIQ,BRA,Brabham Ford,3.0,1979
15,Elio de AngelisDEA,ITA,Shadow Ford,3.0,1979
15,Jacky IckxICK,BEL,Ligier Ford,3.0,1979
15,Jochen MassMAS,GER,Arrows Ford,3.0,1979
19,Riccardo PatresePAT,ITA,Arrows Ford,2.0,1979
19,Hans-Joachim StuckSTU,GER,ATS Ford,2.0,1979
21,Emerson FittipaldiFIT,BRA,Fittipaldi Ford,1.0,1979
1,Alan JonesJON,AUS,Williams Ford,67.0,1980
2,Nelson PiquetPIQ,BRA,Brabham Ford,54.0,1980
3,Carlos ReutemannREU,ARG,Williams Ford,42.0,1980
4,Jacques LaffiteLAF,FRA,Ligier Ford,34.0,1980
5,Didier PironiPIR,FRA,Ligier Ford,32.0,1980
6,Rene ArnouxARN,FRA,Renault,29.0,1980
7,Elio de AngelisDEA,ITA,Lotus Ford,13.0,1980
8,Jean-Pierre JabouilleJAB,FRA,Renault,9.0,1980
9,Riccardo PatresePAT,ITA,Arrows Ford,7.0,1980
10,Keke RosbergROS,FIN,Fittipaldi Ford,6.0,1980
10,Derek DalyDAL,IRL,Tyrrell Ford,6.0,1980
10,John WatsonWAT,GBR,McLaren Ford,6.0,1980
10,Jean-Pierre JarierJAR,FRA,Tyrrell Ford,6.0,1980
10,Gilles VilleneuveVIL,CAN,Ferrari,6.0,1980
15,Emerson FittipaldiFIT,BRA,Fittipaldi Ford,5.0,1980
15,Alain ProstPRO,FRA,McLaren Ford,5.0,1980
17,Jochen MassMAS,GER,Arrows Ford,4.0,1980
17,Bruno GiacomelliGIA,ITA,Alfa Romeo,4.0,1980
19,Jody ScheckterSCH,RSA,Ferrari,2.0,1980
20,Hector RebaqueREB,MEX,Brabham Ford,1.0,1980
20,Mario AndrettiAND,USA,Lotus Ford,1.0,1980
1,Nelson PiquetPIQ,BRA,Brabham Ford,50.0,1981
2,Carlos ReutemannREU,ARG,Williams Ford,49.0,1981
3,Alan JonesJON,AUS,Williams Ford,46.0,1981
4,Jacques LaffiteLAF,FRA,Ligier Matra,44.0,1981
5,Alain ProstPRO,FRA,Renault,43.0,1981
6,John WatsonWAT,GBR,McLaren Ford,27.0,1981
7,Gilles VilleneuveVIL,CAN,Ferrari,25.0,1981
8,Elio de AngelisDEA,ITA,Lotus Ford,14.0,1981
9,Rene ArnouxARN,FRA,Renault,11.0,1981
9,Hector RebaqueREB,MEX,Brabham Ford,11.0,1981
11,Riccardo PatresePAT,ITA,Arrows Ford,10.0,1981
11,Eddie CheeverCHE,USA,Tyrrell Ford,10.0,1981
13,Didier PironiPIR,FRA,Ferrari,9.0,1981
14,Nigel MansellMAN,GBR,Lotus Ford,8.0,1981
15,Bruno GiacomelliGIA,ITA,Alfa Romeo,7.0,1981
16,Marc SurerSUR,SUI,Theodore Ford,4.0,1981
17,Mario AndrettiAND,USA,Alfa Romeo,3.0,1981
18,Patrick TambayTAM,FRA,Ligier Matra,1.0,1981
18,Andrea de CesarisDEC,ITA,McLaren Ford,1.0,1981
18,Slim BorguddBOR,SWE,ATS Ford,1.0,1981
18,Eliseo SalazarSAL,CHI,Ensign Ford,1.0,1981
1,Keke RosbergROS,FIN,Williams Ford,44.0,1982
2,Didier PironiPIR,FRA,Ferrari,39.0,1982
2,John WatsonWAT,GBR,McLaren Ford,39.0,1982
4,Alain ProstPRO,FRA,Renault,34.0,1982
5,Niki LaudaLAU,AUT,McLaren Ford,30.0,1982
6,Rene ArnouxARN,FRA,Renault,28.0,1982
7,Patrick TambayTAM,FRA,Ferrari,25.0,1982
7,Michele AlboretoALB,ITA,Tyrrell Ford,25.0,1982
9,Elio de AngelisDEA,ITA,Lotus Ford,23.0,1982
10,Riccardo PatresePAT,ITA,Brabham BMW,21.0,1982
11,Nelson PiquetPIQ,BRA,Brabham BMW,20.0,1982
12,Eddie CheeverCHE,USA,Ligier Matra,15.0,1982
13,Derek DalyDAL,IRL,Williams Ford,8.0,1982
14,Nigel MansellMAN,GBR,Lotus Ford,7.0,1982
15,Carlos ReutemannREU,ARG,Williams Ford,6.0,1982
15,Gilles VilleneuveVIL,CAN,Ferrari,6.0,1982
17,Andrea de CesarisDEC,ITA,Alfa Romeo,5.0,1982
17,Jacques LaffiteLAF,FRA,Ligier Matra,5.0,1982
19,Mario AndrettiAND,USA,Ferrari,4.0,1982
20,Jean-Pierre JarierJAR,FRA,Osella Ford,3.0,1982
20,Marc SurerSUR,SUI,Arrows Ford,3.0,1982
22,Manfred WinkelhockWIN,GER,ATS Ford,2.0,1982
22,Eliseo SalazarSAL,CHI,ATS Ford,2.0,1982
22,Bruno GiacomelliGIA,ITA,Alfa Romeo,2.0,1982
22,Mauro BaldiBAL,ITA,Arrows Ford,2.0,1982
26,Chico SerraSER,BRA,Fittipaldi Ford,1.0,1982
1,Nelson PiquetPIQ,BRA,Brabham BMW,59.0,1983
2,Alain ProstPRO,FRA,Renault,57.0,1983
3,Rene ArnouxARN,FRA,Ferrari,49.0,1983
4,Patrick TambayTAM,FRA,Ferrari,40.0,1983
5,Keke RosbergROS,FIN,Williams Honda,27.0,1983
6,John WatsonWAT,GBR,McLaren Ford,22.0,1983
7,Eddie CheeverCHE,USA,Renault,22.0,1983
8,Andrea de CesarisDEC,ITA,Alfa Romeo,15.0,1983
9,Riccardo PatresePAT,ITA,Brabham BMW,13.0,1983
10,Niki LaudaLAU,AUT,McLaren TAG,12.0,1983
11,Jacques LaffiteLAF,FRA,Williams Honda,11.0,1983
12,Michele AlboretoALB,ITA,Tyrrell Ford,10.0,1983
13,Nigel MansellMAN,GBR,Lotus Renault,10.0,1983
14,Derek WarwickWAR,GBR,Toleman Hart,9.0,1983
15,Marc SurerSUR,SUI,Arrows Ford,4.0,1983
16,Mauro BaldiBAL,ITA,Alfa Romeo,3.0,1983
17,Elio de AngelisDEA,ITA,Lotus Renault,2.0,1983
18,Danny SullivanSUL,USA,Tyrrell Ford,2.0,1983
19,Bruno GiacomelliGIA,ITA,Toleman Hart,1.0,1983
20,Johnny CecottoCEC,VEN,Theodore Ford,1.0,1983
1,Niki LaudaLAU,AUT,McLaren TAG,72.0,1984
2,Alain ProstPRO,FRA,McLaren TAG,71.5,1984
3,Elio de AngelisDEA,ITA,Lotus Renault,34.0,1984
4,Michele AlboretoALB,ITA,Ferrari,30.5,1984
5,Nelson PiquetPIQ,BRA,Brabham BMW,29.0,1984
6,Rene ArnouxARN,FRA,Ferrari,27.0,1984
7,Derek WarwickWAR,GBR,Renault,23.0,1984
8,Keke RosbergROS,FIN,Williams Honda,20.5,1984
9,Ayrton SennaSEN,BRA,Toleman Hart,13.0,1984
10,Nigel MansellMAN,GBR,Lotus Renault,13.0,1984
11,Patrick TambayTAM,FRA,Renault,11.0,1984
12,Teo FabiFAB,ITA,Brabham BMW,9.0,1984
13,Riccardo PatresePAT,ITA,Alfa Romeo,8.0,1984
14,Jacques LaffiteLAF,FRA,Williams Honda,5.0,1984
15,Thierry BoutsenBOU,BEL,Arrows BMW,5.0,1984
16,Eddie CheeverCHE,USA,Alfa Romeo,3.0,1984
17,Stefan JohanssonJOH,SWE,Toleman Hart,3.0,1984
18,Andrea de CesarisDEC,ITA,Ligier Renault,3.0,1984
19,Piercarlo GhinzaniGHI,ITA,Osella Alfa Romeo,2.0,1984
20,Marc SurerSUR,SUI,Arrows BMW,1.0,1984
1,Alain ProstPRO,FRA,McLaren TAG,73.0,1985
2,Michele AlboretoALB,ITA,Ferrari,53.0,1985
3,Keke RosbergROS,FIN,Williams Honda,40.0,1985
4,Ayrton SennaSEN,BRA,Lotus Renault,38.0,1985
5,Elio de AngelisDEA,ITA,Lotus Renault,33.0,1985
6,Nigel MansellMAN,GBR,Williams Honda,31.0,1985
7,Stefan JohanssonJOH,SWE,Ferrari,26.0,1985
8,Nelson PiquetPIQ,BRA,Brabham BMW,21.0,1985
9,Jacques LaffiteLAF,FRA,Ligier Renault,16.0,1985
10,Niki LaudaLAU,AUT,McLaren TAG,14.0,1985
11,Thierry BoutsenBOU,BEL,Arrows BMW,11.0,1985
12,Patrick TambayTAM,FRA,Renault,11.0,1985
13,Marc SurerSUR,SUI,Brabham BMW,5.0,1985
14,Derek WarwickWAR,GBR,Renault,5.0,1985
15,Philippe StreiffSTR,FRA,Ligier Renault,4.0,1985
16,Stefan BellofBEL,GER,Tyrrell Renault,4.0,1985
17,Andrea de CesarisDEC,ITA,Ligier Renault,3.0,1985
18,Rene ArnouxARN,FRA,Ferrari,3.0,1985
19,Ivan CapelliCAP,ITA,Tyrrell Renault,3.0,1985
20,Gerhard BergerBER,AUT,Arrows BMW,3.0,1985
1,Alain ProstPRO,FRA,McLaren TAG,72.0,1986
2,Nigel MansellMAN,GBR,Williams Honda,70.0,1986
3,Nelson PiquetPIQ,BRA,Williams Honda,69.0,1986
4,Ayrton SennaSEN,BRA,Lotus Renault,55.0,1986
5,Stefan JohanssonJOH,SWE,Ferrari,23.0,1986
6,Keke RosbergROS,FIN,McLaren TAG,22.0,1986
7,Gerhard BergerBER,AUT,Benetton BMW,17.0,1986
8,Jacques LaffiteLAF,FRA,Ligier Renault,14.0,1986
9,Michele AlboretoALB,ITA,Ferrari,14.0,1986
10,Rene ArnouxARN,FRA,Ligier Renault,14.0,1986
11,Martin BrundleBRU,GBR,Tyrrell Renault,8.0,1986
12,Alan JonesJON,AUS,Lola Ford,4.0,1986
13,Johnny DumfriesDUM,GBR,Lotus Renault,3.0,1986
14,Philippe StreiffSTR,FRA,Tyrrell Renault,3.0,1986
15,Teo FabiFAB,ITA,Benetton BMW,2.0,1986
16,Patrick TambayTAM,FRA,Lola Ford,2.0,1986
17,Riccardo PatresePAT,ITA,Brabham BMW,2.0,1986
18,Philippe AlliotALL,FRA,Ligier Renault,1.0,1986
19,Christian DannerDAN,GER,Arrows BMW,1.0,1986
1,Nelson PiquetPIQ,BRA,Williams Honda,73.0,1987
2,Nigel MansellMAN,GBR,Williams Honda,61.0,1987
3,Ayrton SennaSEN,BRA,Lotus Honda,57.0,1987
4,Alain ProstPRO,FRA,McLaren TAG,46.0,1987
5,Gerhard BergerBER,AUT,Ferrari,36.0,1987
6,Stefan JohanssonJOH,SWE,McLaren TAG,30.0,1987
7,Michele AlboretoALB,ITA,Ferrari,17.0,1987
8,Thierry BoutsenBOU,BEL,Benetton Ford,16.0,1987
9,Teo FabiFAB,ITA,Benetton Ford,12.0,1987
10,Eddie CheeverCHE,USA,Arrows Megatron,8.0,1987
11,Jonathan PalmerPAL,GBR,Tyrrell Ford,7.0,1987
12,Satoru NakajimaNAK,JPN,Lotus Honda,7.0,1987
13,Riccardo PatresePAT,ITA,Williams Honda,6.0,1987
14,Andrea de CesarisDEC,ITA,Brabham BMW,4.0,1987
15,Philippe StreiffSTR,FRA,Tyrrell Ford,4.0,1987
16,Derek WarwickWAR,GBR,Arrows Megatron,3.0,1987
17,Philippe AlliotALL,FRA,Lola Ford,3.0,1987
18,Martin BrundleBRU,GBR,Zakspeed,2.0,1987
19,Rene ArnouxARN,FRA,Ligier Megatron,1.0,1987
20,Ivan CapelliCAP,ITA,March Ford,1.0,1987
21,Roberto MorenoMOR,BRA,AGS Ford,1.0,1987
1,Ayrton SennaSEN,BRA,McLaren Honda,90.0,1988
2,Alain ProstPRO,FRA,McLaren Honda,87.0,1988
3,Gerhard BergerBER,AUT,Ferrari,41.0,1988
4,Thierry BoutsenBOU,BEL,Benetton Ford,27.0,1988
5,Michele AlboretoALB,ITA,Ferrari,24.0,1988
6,Nelson PiquetPIQ,BRA,Lotus Honda,22.0,1988
7,Ivan CapelliCAP,ITA,March Judd,17.0,1988
8,Derek WarwickWAR,GBR,Arrows Megatron,17.0,1988
9,Nigel MansellMAN,GBR,Williams Judd,12.0,1988
10,Alessandro NanniniNAN,ITA,Benetton Ford,12.0,1988
11,Riccardo PatresePAT,ITA,Williams Judd,8.0,1988
12,Eddie CheeverCHE,USA,Arrows Megatron,6.0,1988
13,Mauricio GugelminGUG,BRA,March Judd,5.0,1988
14,Jonathan PalmerPAL,GBR,Tyrrell Ford,5.0,1988
15,Andrea de CesarisDEC,ITA,Rial Ford,3.0,1988
16,Pierluigi MartiniMAR,ITA,Minardi Ford,1.0,1988
17,Satoru NakajimaNAK,JPN,Lotus Honda,1.0,1988
1,Alain ProstPRO,FRA,McLaren Honda,76.0,1989
2,Ayrton SennaSEN,BRA,McLaren Honda,60.0,1989
3,Riccardo PatresePAT,ITA,Williams Renault,40.0,1989
4,Nigel MansellMAN,GBR,Ferrari,38.0,1989
5,Thierry BoutsenBOU,BEL,Williams Renault,37.0,1989
6,Alessandro NanniniNAN,ITA,Benetton Ford,32.0,1989
7,Gerhard BergerBER,AUT,Ferrari,21.0,1989
8,Nelson PiquetPIQ,BRA,Lotus Judd,12.0,1989
9,Jean AlesiALE,FRA,Tyrrell Ford,8.0,1989
10,Derek WarwickWAR,GBR,Arrows Ford,7.0,1989
11,Stefan JohanssonJOH,SWE,Onyx Ford,6.0,1989
11,Michele AlboretoALB,ITA,Lola Lamborghini,6.0,1989
11,Eddie CheeverCHE,USA,Arrows Ford,6.0,1989
14,Johnny HerbertHER,GBR,Tyrrell Ford,5.0,1989
15,Pierluigi MartiniMAR,ITA,Minardi Ford,5.0,1989
16,Andrea de CesarisDEC,ITA,Dallara Ford,4.0,1989
16,Mauricio GugelminGUG,BRA,March Judd,4.0,1989
16,Stefano ModenaMOD,ITA,Brabham Judd,4.0,1989
19,Alex CaffiCAF,ITA,Dallara Ford,4.0,1989
20,Martin BrundleBRU,GBR,Brabham Judd,4.0,1989
21,Christian DannerDAN,GER,Rial Ford,3.0,1989
21,Satoru NakajimaNAK,JPN,Lotus Judd,3.0,1989
23,Rene ArnouxARN,FRA,Ligier Ford,2.0,1989
23,Emanuele PirroPIR,ITA,Benetton Ford,2.0,1989
25,Jonathan PalmerPAL,GBR,Tyrrell Ford,2.0,1989
26,Gabriele TarquiniTAR,ITA,AGS Ford,1.0,1989
26,Philippe AlliotALL,FRA,Lola Lamborghini,1.0,1989
26,Olivier GrouillardGRO,FRA,Ligier Ford,1.0,1989
26,Luis Perez-SalaPER,ESP,Minardi Ford,1.0,1989
1,Ayrton SennaSEN,BRA,McLaren Honda,78.0,1990
2,Alain ProstPRO,FRA,Ferrari,71.0,1990
3,Nelson PiquetPIQ,BRA,Benetton Ford,43.0,1990
3,Gerhard BergerBER,AUT,McLaren Honda,43.0,1990
5,Nigel MansellMAN,GBR,Ferrari,37.0,1990
6,Thierry BoutsenBOU,BEL,Williams Renault,34.0,1990
7,Riccardo PatresePAT,ITA,Williams Renault,23.0,1990
8,Alessandro NanniniNAN,ITA,Benetton Ford,21.0,1990
9,Jean AlesiALE,FRA,Tyrrell Ford,13.0,1990
10,Ivan CapelliCAP,ITA,Leyton House Judd,6.0,1990
10,Roberto MorenoMOR,BRA,Benetton Ford,6.0,1990
12,Aguri SuzukiSUZ,JPN,Lola Lamborghini,6.0,1990
13,Eric BernardBER,FRA,Lola Lamborghini,5.0,1990
14,Derek WarwickWAR,GBR,Lotus Lamborghini,3.0,1990
15,Satoru NakajimaNAK,JPN,Tyrrell Ford,3.0,1990
16,Alex CaffiCAF,ITA,Arrows Ford,2.0,1990
16,Stefano ModenaMOD,ITA,Brabham Judd,2.0,1990
18,Mauricio GugelminGUG,BRA,Leyton House Judd,1.0,1990
1,Ayrton SennaSEN,BRA,McLaren Honda,96.0,1991
2,Nigel MansellMAN,GBR,Williams Renault,72.0,1991
3,Riccardo PatresePAT,ITA,Williams Renault,53.0,1991
